,item_name,item_description,item-price
0,Mixed Seafood Pizza BOGO,"Pizza sauce, mozzarella fior di latte, basil, oregano, garlic, chili flakes, prawns, squids, mussels, olive oil.",61.0
1,4 Cheese Pizza BOGO,"Pizza sauce, mozzarella fior di latte, smoked mozzarella, gorgonzola, parmigiano cheese.",56.0
2,Hawaiin Pizza BOGO,"Mozzarella fior de latte, turkey ham, beef bacon, fresh pineapple and short ribs.",56.0
3,Buratta Cheese Pizza BOGO,"Pizza sauce, mozzarella fior di latte, semi-dried tomatoes, burrata, oregano and olive oil.",59.0
4,Bufala Cheese with Sundried Tomato Pizza BOGO,"Pizza sauce, mozzarella fior di latte, buffalo mozzarella, basil, oregano, semi-dried tomatoes, olive oil.",59.0
5,All Meat Pizza BOGO,"Pizza sauce, mozzarella cheese, turkey ham, spicy beef salami, beef bacon, mushrooms, caramelized onion, fennel seeds, chilli flakes.",61.0
6,Two Way Pizza,,55.0
7,Classic Margherita Pizza,"Pizza sauce, mozzarella fior di latte, basil, oregano.",47.0
8,Margherita with Bufala Mozzarella Pizza,"Pizza sauce, buffalo mozzarella, oregano, cherry tomatoes, olive oil.",57.0
9,Spicy Italian Pepperoni Pizza,"Pizza sauce, mozzarella fior di latte, mild spicy beef salami, caramelized onion, taggiasca olives, chili flakes and oregano.",55.0
10,Pepperoni Jalapeño Pizza,"Mozzarella cheese, pizza sauce, oregano, pepperoni , buffalo cheese, jalapeño pickles, button mushrooms, chilli oil.",59.0
11,Bufalla Cheese with Sundried Tomato Pizza,"Pizza sauce, mozzarella fior di latte, buffalo mozzarella, basil, oregano, semi-dried tomatoes, olive oil.",59.0
12,Eggplant and Parmesan Pizza,"Pizza sauce, mozzarella fior di latte, basil, oregano, fried eggplant, parmigiano cheese.",51.0
13,4 Cheese Pizza,"Pizza sauce, mozzarella fior di latte, smoked mozzarella, gorgonzola, parmigiano cheese.",56.0
14,Hawaiian Pizza,"Mozzarella fior de latte, turkey ham, beef bacon, fresh pineapple and short ribs.",56.0
