,item_name,item_description,item-price
0,Gino's Meal for One,"Choice of Panuozzo, Fries, and Soft Drink - AED 49",49.0
1,Gino's Meal for 2,"Choice of any 2 Panuozzo, 2 Fries, and 2 Soft Drink - AED 109",109.0
2,Family Meal (Serves 4),"Any 4 Panuozzo or Pasta, 4 Appetisers, 4 Soft Drink - AED 199",199.0
3,Appetizer Share Box,Choice of any 3 appetizers - perfect for sharing!,64.0
4,Any 3 Panuozzo,"Choice of any 3 of our famous, authentic, fresh baked panuozzo!",99.0
5,Ginos Chicken Strips,"Juicy, tender, succulent chicken strips. Served with a choice of house made dips",32.0
6,Sweet Potato Fries,"Sweet and crispy fries, served with a choice of house-made dips",24.0
7,Ginos Potato Wedges,"Crispy fried potato wedges, lightly seasoned. Served with a choice of house-made dips",24.0
8,Mozzarella Balls,"Mini breaded mozzarella bites, served with a choice of house-made dip",29.0
9,Garlic Bread & Mozzarella,Oven baked ciabatta with homemade roast garlic oil and fresh fior di latte mozzarella,23.0
10,Gino's Chicken Wings (6),"Premium, thick, juicy wings smothered in your choice of Smoky BBQ sauce or tangy Buffalo. Served with a Blue cheese dip (6 wings)",32.0
11,Arancini,"Italian rice balls stuffed with tomato and mozzarella, and shallow fried. Served with a choice of house-made dip",29.0
12,Quinoa Greco Salad,"White quinoa, authentic Greek feta, Kalamata olives, pine nuts, cherry tomato, fresh rocket, Italian lime dressing",43.0
13,Italian Chicken Pasta Salad,"Served cold Pasta salad with fusili, roast chicken, sweetcorn, kalamata olives, sundried tomato, fresh rocket, grated parmesan and pesto dressing",43.0
14,Ginos Chicken Caesar Salad,"Fresh Romaine lettuce with a creamy Caesar dressing, crispy garlic croutons, powdered parmesan cheese and grilled chicken breast",43.0
15,Tomato & Mozzarella (Sandwich),"Freshly baked panuozzo with sliced tomato, fresh thick cut buffalo mozzarella, homemade pesto, fresh basil",44.0
16,Salami Melt (Sandwich),"Freshly baked panuozzo with Italian tomato sauce, fresh ricotta, fior di latte mozzarella, fresh rocket, Italian salami, oregano",42.0
17,Fire Chicken BBQ (Sandwich),"Freshly baked panuozzo with crispy fried chicken, homemade caramelized onion, smoky bbq sauce, jalapenos and fior di latte mozzarella",42.0
18,Chicken Pesto Mozzarella (Sandwich),"Freshly baked panuozzo with creamy pesto sauce, oven roast shredded chicken, fior di latte mozzarella, and sundried tomatoes",44.0
19,Italian Meatball (Sandwich),"Fresh baked panuozzo oozing with Gino's homemade Italian meatballs in a rich tomato ragu, topped with fior di latte mozzarella, parmesan, and a sprinkling of oregano. Mamma Mia!",44.0
20,Bresaola & Rocket (Sandwich),"Freshly baked panuozzo with Italian tomato sauce, fresh ricotta, premium sliced beef bresaola, fior di latte mozzarella and fresh rocket",42.0
21,Butter Chicken & Burrata (Sandwich),Freshly baked panuozzo with Gino's butter chicken and creamy burrata,44.0
22,Halloumi & Roast Vegetables (Sandwich),"Freshly baked panuozzo with sundried tomato pesto, oven roast Mediterranean vegetables, sliced halloumi, and homemade basil pesto, oregano",42.0
23,Chipotle Cheesesteak (Sandwich),"Freshly baked panuozzo with grilled beef strips, sautéed onions, peppers, American cheddar sauce and chipotle mayonnaise",46.0
24,Buffalo Chicken (Sandwich),"Freshly baked panuozzo with buffalo fried chicken, chopped spring onion, fior di latte mozzarella, and buffalo ranch sauce",42.0
25,Tuna Mayo (Sandwich),"Freshly baked panuozzo with premium Mediterranean tuna, mayonnaise, sweetcorn, and sliced tomato",42.0
26,BBQ Honey Mustard (Sandwich),"Freshly baked panuozzo with house slaw, shallow fried chicken escalope, topped with fior di latte mozzarella and swiss cheese, and drizzled with Gino's homemade bbq honey mustard dressing",46.0
