,item_name,item_description,item-price
27,Classic Reuben (Sandwich),"Freshly baked panuozzo with Russian sauce, sauerkraut, beef pastrami, sliced pickles, American mustard and Swiss cheese - Gino's take on a classic!",46.0
28,The Rebecca (Sandwich),"Slow cooked, homemade pulled BBQ brisket, garlic & herb sauce, sliced pickle and aged smoked cheddar cheese",46.0
29,Brooklyn Hero (Sandwich),"Freshly baked panuozzo stuffed with Gino's mustard-mayo sauce, american cheddar, smoked turkey, Italian salami and dill pickles",46.0
30,Spaghetti Bolognese,Classic spaghetti pasta with our homemade rich tomato and beef bolognese sauce,52.0
31,Gino's Penne Alfredo,Penne pasta with Gino's homemade creamy Alfredo sauce with oven roast chicken and fresh mushroom,52.0
32,Penne Calabrese,"Penne pasta with our homemade creamy, tangy pink sauce with sundried tomato and grilled chicken (mildly spicy)",55.0
33,Mac'n'Cheese,Ginos thick and creamy macaroni and cheddar classic,38.0
34,Gino's Gnocchi,Gino's famous gnocchi with your choice of homemade pesto or truffled cream,52.0
35,Buffalo Ranch (30ml),Creamy Buffalo Ranch Dip,4.0
36,Sundried Tomato Marinara (30ml),"Homemade with Italian sundried tomatoes, pine nuts, and classic marinara sauce",5.0
37,Garlic & Herb (30ml),Homemade creamy garlic and herb dip,4.0
38,BBQ Honey Mustard (30ml),"A classic combination of smoky BBQ sauce, American mustard and honey",4.0
39,Chipotle Mayo (30ml),"Spicy, tangy and delicious with almost anything!",4.0
40,Sweet Chili (30ml),A sweet & (mildly) spicy classic!,3.0
41,Smoky BBQ (30ml),A smoky classic,3.0
42,Marie Rose (30ml),"A blend of tomato, mayonnaise, Worcestershire sauce, lemon juice and black pepper",4.0
43,Ginos Tiramisu,House special - homemade classic creamy Tiramisu (8oz),25.0
44,Chocolate Fudge Brownie,"Homemade chocolate fudge brownie - soft, chewy and delicious! Contain Nuts (1 piece)",22.0
45,Banana Caramel Pudding,"Gino's homemade pudding with caramelised banana, custard cream, and banana caramel sauce",28.0
46,Arwa Water (500ml),,5.0
47,Coca Cola (250ml),250ml,9.0
48,Coke Zero (250ml),250ml bottle,9.0
49,Sprite (250ml),250ml bottle,9.0
50,Fanta (250ml),250ml bottle,9.0
